Place,Competitor,DOB,Nat,Score,Event List
1,Yomif KEJELCHA,01 AUG 1997,ETH,1457,5000m [3000m]
2,Hagos GEBRHIWET,11 MAY 1994,ETH,1441,5000m [5 km Road]
3,Berihu AREGAWI,28 FEB 2001,ETH,1421,5000m [3000m]
4,Telahun Haile BEKELE,13 MAY 1999,ETH,1409,5000m [3000m]
5,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1405,5000m [3000m]
6,Jacob KIPLIMO,14 NOV 2000,UGA,1403,5000m
7,Selemon BAREGA,20 JAN 2000,ETH,1396,5000m [3000m sh]
8,Grant FISHER,22 APR 1997,USA,1364,5000m [3000m]
9,Luis GRIJALVA,10 APR 1999,GUA,1361,5000m [3000m]
10,Joshua CHEPTEGEI,12 SEP 1996,UGA,1350,5000m
11,Dominic Lokinyomo LOBALU,16 AUG 1998,SUI,1334,5000m [3000m]
12,Biniam MEHARY,20 DEC 2006,ETH,1333,5000m [3000m sh]
13,Thierry NDIKUMWENAYO,26 MAR 1997,ESP,1331,5000m
14,Nicholas KIPKORIR,29 SEP 1998,KEN,1326,5000m [5 km Road]
15,Jacob KROP,04 JUN 2001,KEN,1315,5000m
16,Birhanu BALEW,27 FEB 1996,BRN,1299,5000m
17,Samuel TEFERA,23 OCT 1999,ETH,1297,5000m [3000m sh]
18,Andreas ALMGREN,12 JUN 1995,SWE,1295,5000m [3000m]
19,Kuma GIRMA,24 NOV 2005,ETH,1292,5000m
20,Addisu YIHUNE,17 MAR 2003,ETH,1290,5000m [5 km Road]
21,Mohammed AHMED,05 JAN 1991,CAN,1287,5000m
22,Jimmy GRESSIER,04 MAY 1997,FRA,1268,5000m
23,Cornelius KEMBOI,29 FEB 2000,KEN,1266,5000m
24,Narve Gilje NORDÅS,30 SEP 1998,NOR,1262,5000m [3000m]
25,Mohamed ISMAIL,01 JAN 1997,DJI,1260,5000m [3000m]
26,Stewart MCSWEYN,01 JUN 1995,AUS,1257,5000m [3000m]
27,Cole HOCKER,06 JUN 2001,USA,1255,5000m [2 Miles sh]
28,Adriaan WILDSCHUTT,03 MAY 1998,RSA,1249,5000m [3000m]
29,Brian FAY,09 NOV 1998,IRL,1248,5000m [3000m sh]
30,Morgan MCDONALD,23 APR 1996,AUS,1247,5000m [2 Miles sh]
31,Joe KLECKER,16 NOV 1996,USA,1246,5000m [5000m sh]
32,Ishmael Rokitto KIPKURUI,10 FEB 2005,KEN,1241,5000m [2 Miles]
33,Yann SCHRUB,20 MAR 1996,FRA,1235,5000m [3000m sh]
34,Mike FOPPEN,29 NOV 1996,NED,1229,5000m [5000m sh]
35,Sam ATKIN,14 MAR 1993,GBR,1225,5000m [5000m sh]
36,Abdihamid NUR,14 OCT 1997,USA,1220,5000m [5000m sh]
37,Jonas RAESS,08 MAR 1994,SUI,1219,5000m [3000m]
38,Egide NTAKARUTIMANA,21 OCT 1997,BDI,1219,5000m [3000m]
39,Isaac KIMELI,09 MAR 1994,BEL,1217,5000m [2 Miles]
40,Adel MECHAAL,05 DEC 1990,ESP,1215,5000m [3000m]
41,Paul CHELIMO,27 OCT 1990,USA,1212,5000m
42,John HEYMANS,09 JAN 1998,BEL,1210,5000m [5000m sh]
43,Oscar CHELIMO,12 DEC 2001,UGA,1209,5000m [3000m]
44,Olin HACKER,21 MAY 1997,USA,1208,5000m [3000m sh]
45,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,1203,5000m [3000m]
46,Benjamin FLANAGAN,11 JAN 1995,CAN,1199,5000m [3000m sh]
47,Magnus Tuv MYHRE,15 JUN 2000,NOR,1197,5000m
48,Emil DANIELSSON,05 SEP 1997,SWE,1196,5000m [3000m]
49,Jack RAYNER,19 DEC 1995,AUS,1195,5000m
50,Maximilian THORWIRTH,09 JAN 1995,GER,1192,5000m [3000m sh]
51,Etienne DAGUINOS,15 FEB 2000,FRA,1192,5000m [3000m sh]
52,Robin HENDRIX,14 JAN 1995,BEL,1192,5000m [3000m sh]
53,Hicham AKANKAM,04 APR 1998,MAR,1191,5000m [3000m sh]
54,Sam PARSONS,18 JUN 1994,GER,1191,5000m [3000m]
55,Ahmed MUHUMED,01 JAN 1998,USA,1189,5000m [5000m sh]
56,James WEST,30 JAN 1996,GBR,1186,5000m [3000m]
57,Dawit SEARE,29 DEC 2004,ERI,1185,5000m [5 km Road]
58,Mohamed ABDILAAHI,24 MAR 1999,GER,1185,5000m [3000m]
59,Hugo HAY,28 MAR 1997,FRA,1184,5000m [3000m sh]
60,Matthew RAMSDEN,23 JUL 1997,AUS,1179,5000m [3000m]
61,Ky ROBINSON,27 FEB 2002,AUS,1177,5000m [5000m sh]
62,Darragh MCELHINNEY,09 NOV 2000,IRL,1176,5000m [3000m sh]
63,Thomas FAFARD,06 DEC 1998,CAN,1175,5000m
64,Daniel Simiu EBENYO,18 SEP 1995,KEN,1174,5000m
65,Cooper TEARE,18 AUG 1999,USA,1173,5000m
66,Ouassim OUMAIZ,30 MAR 1999,ESP,1173,5000m
67,Yemaneberhan CRIPPA,15 OCT 1996,ITA,1172,5000m [3000m]
68,Santiago CATROFE,13 FEB 1999,URU,1169,5000m [3000m]
69,Elzan BIBIĆ,08 JAN 1999,SRB,1168,5000m [3000m]
70,Parker WOLFE,27 JUL 2003,USA,1168,5000m [3000m sh]
71,Scott BEATTIE,04 DEC 1998,GBR,1167,5000m [3000m sh]
72,Emmanuel KIPCHIRCHIR,27 NOV 2003,KEN,1167,5000m
73,Jack ROWE,30 JAN 1996,GBR,1166,5000m [5000m sh]
74,Charles HICKS,25 JUL 2001,GBR,1166,5000m [5000m sh]
75,Muktar EDRIS,14 JAN 1994,ETH,1164,5000m [5 km Road]
76,Awet Nftalem KIBRAB,09 MAY 1995,NOR,1164,5000m [5 km Road]
77,Bob LIKING,16 MAY 2002,USA,1164,5000m [3000m sh]
78,Sebastian FREY,28 MAY 2002,AUT,1164,5000m [3000m sh]
79,Bastien AUGUSTO,10 AUG 1999,FRA,1163,5000m
80,Kazuya SHIOJIRI,08 NOV 1996,JPN,1161,5000m
81,Sergio JIMÉNEZ,07 JAN 1995,ESP,1161,5000m [3000m sh]
82,Per SVELA,19 MAR 1992,NOR,1160,5000m [3000m sh]
83,Célestin NDIKUMANA,22 FEB 2002,BDI,1159,5000m [3000m]
84,Florian BREMM,14 AUG 2000,GER,1158,5000m
85,Hyuga ENDO,05 AUG 1998,JPN,1157,5000m
86,Sean MCGORTY,08 MAR 1995,USA,1156,5000m
87,Charles WHEELER,04 JUL 1998,GBR,1156,5000m [3000m sh]
88,Kibet KANDIE,02 APR 1996,KEN,1156,5000m
89,Mahadi ABDI ALI,08 NOV 1995,NED,1154,5000m [3000m sh]
90,Kieran TUNTIVATE,16 FEB 1997,THA,1153,5000m [2 Miles sh]
91,Davor Aaron BIENENFELD,25 SEP 1997,GER,1152,5000m [5000m sh]
92,Jackson SHARP,21 AUG 2000,AUS,1152,5000m [3000m sh]
93,Gulveer SINGH,01 JUN 1998,IND,1152,5000m
94,Keita SATOH,22 JAN 2004,JPN,1151,5000m [2 Miles sh]
95,Vladimir NIKITIN,05 AUG 1992,RUS,1151,5000m
96,Abdessamad OUKHELFEN,18 DEC 1998,ESP,1151,5000m [5 km Road]
97,Romain LEGENDRE,06 JAN 2000,FRA,1151,5000m [5000m sh]
98,Valentin GONDOUIN,04 MAR 1999,FRA,1149,5000m [3000m sh]
99,Morgan LE GUEN,12 SEP 1993,SUI,1149,5000m
100,Merhawi MEBRAHTU,21 SEP 2003,ERI,1149,5000m
